"","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength","fecundity","fecundity_mean","fertilization","reproductionmode","class","order","family","genus","species","maturityage","adultlifespan","generationtime"
"72","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Pawleys Island, SC","33.24","-79.08",NA,"2006","D-loop","23","340","0.85","NA","0.004","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"73","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Sandy Hook, NJ","40.25","-73.59",NA,"2006","D-loop","23","340","0.63","NA","0.003","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"74","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Sandy Pt Park, MD","39.01","-76.24",NA,"2006","D-loop","24","340","0.5","NA","0.002","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"75","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Silver Beach, VA","37.29","-75.57",NA,"2005.5","D-loop","33","340","0.54","NA","0.002","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"76","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","St. Andrews, NB","45.05","-67.04",NA,"2005.5","D-loop","39","340","0.31","NA","0.001","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"77","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","St. Augustine Beach, FL","29.41","-81.15",NA,"2005","D-loop","19","340","0.6","NA","0.003","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"78","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","St. John, NB","45.13","-66.08",NA,"2006","D-loop","19","340","0.11","NA","0.001","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"79","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Tuckerton, NJ","39.24","-74.2",NA,"2005.5","D-loop","25","340","0.64","NA","0.004","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"80","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Tybee Island, GA","32","-80.57",NA,"2005.5","D-loop","39","340","0.76","NA","0.004","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"81","Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Waquoit Bay, MA","41.35","-70.31",NA,"2005.5","D-loop","36","340","0.5","NA","0.002","NA","mtdna101","15","179","179","external","dioecism","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","menidia","0.734902262833379","2.37229354533747","4.65362847036396"
"82","Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-C","37.5","-74",NA,"2003","control region","28","900","0.548","0.114","0.0669","NA","mtdna101","40.5999984741211","340000","340000","external","dioecism","Actinopteri","Gadiformes","Merlucciidae","Merluccius","albidus","1.55368615797297","6.58654797278184","42.8328479509703"
"83","Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-N","40","-70",NA,"2003","control region","27","900","0.655","0.105","0.0798","NA","mtdna101","40.5999984741211","340000","340000","external","dioecism","Actinopteri","Gadiformes","Merlucciidae","Merluccius","albidus","1.55368615797297","6.58654797278184","42.8328479509703"
"84","Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-S","35.5","-74.5",NA,"2003","control region","35","900","0.694","0.081","0.0793","NA","mtdna101","40.5999984741211","340000","340000","external","dioecism","Actinopteri","Gadiformes","Merlucciidae","Merluccius","albidus","1.55368615797297","6.58654797278184","42.8328479509703"
"85","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-CN","41","-69","SHAKEGOMNGB","2003","control region","117","900","0.827","0.022","0.0044","NA","mtdna101","76","7e+05","7e+05","external","dioecism","Actinopteri","Gadiformes","Merlucciidae","Merluccius","bilinearis","2.50606769263166","10.971575232472","413.37705461901"
"86","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-CS","39.5","-72","SHAKESGBMATL","2003","control region","32","900","0.699","0.055","0.0029","NA","mtdna101","76","7e+05","7e+05","external","dioecism","Actinopteri","Gadiformes","Merlucciidae","Merluccius","bilinearis","2.50606769263166","10.971575232472","413.37705461901"
"87","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-N","43","-66.5","SHAKEGOMNGB","2003","control region","29","900","0.855","0.051","0.0047","NA","mtdna101","76","7e+05","7e+05","external","dioecism","Actinopteri","Gadiformes","Merlucciidae","Merluccius","bilinearis","2.50606769263166","10.971575232472","413.37705461901"
"88","Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-S","37.5","-74","SHAKESGBMATL","2003","control region","30","900","0.637","0.054","0.0024","NA","mtdna101","76","7e+05","7e+05","external","dioecism","Actinopteri","Gadiformes","Merlucciidae","Merluccius","bilinearis","2.50606769263166","10.971575232472","413.37705461901"
"89","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Apalachicola","29.719077","-84.968155",NA,"2016","control region","36","424","0.983","NA","0.016","NA","mtdna102","55",NA,"NaN",NA,NA,"Actinopteri",NA,"Sciaenidae","Micropogonias","undulatus","1.5673932692568","6.26938568393566","30.4307486216453"
"90","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Bay St. Louis","30.30666","-89.311634",NA,"2016","control region","35","424","0.966","NA","0.013","NA","mtdna102","55",NA,"NaN",NA,NA,"Actinopteri",NA,"Sciaenidae","Micropogonias","undulatus","1.5673932692568","6.26938568393566","30.4307486216453"
"91","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Cedar Lakes","28.827367","-95.528208",NA,"2016","control region","66","424","0.976","NA","0.015","NA","mtdna102","55",NA,"NaN",NA,NA,"Actinopteri",NA,"Sciaenidae","Micropogonias","undulatus","1.5673932692568","6.26938568393566","30.4307486216453"
"92","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Jacksonville","30.403458","-81.38047",NA,"2016","control region","30","424","0.926","NA","0.012","NA","mtdna102","55",NA,"NaN",NA,NA,"Actinopteri",NA,"Sciaenidae","Micropogonias","undulatus","1.5673932692568","6.26938568393566","30.4307486216453"
"93","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Laguna Madre","26.726098","-97.43534",NA,"2016","control region","63","424","0.97","NA","0.012","NA","mtdna102","55",NA,"NaN",NA,NA,"Actinopteri",NA,"Sciaenidae","Micropogonias","undulatus","1.5673932692568","6.26938568393566","30.4307486216453"
"94","Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Sabine Lake","29.913284","-93.845511",NA,"2016","control region","45","424","0.972","NA","0.013","NA","mtdna102","55",NA,"NaN",NA,NA,"Actinopteri",NA,"Sciaenidae","Micropogonias","undulatus","1.5673932692568","6.26938568393566","30.4307486216453"
"95","Microstomus pacificus","Dover sole","Stepien 1999","USA","Cape Mendocino, Northern California","40","-124","DSOLEPCOAST","","control region","19","471","0.98","NA","0.011","NA","mtdna101","76","c(NA, 167046, 230000, 266000)","221015.333333333","external","dioecism","Actinopteri","Pleuronectiformes","Pleuronectidae","Microstomus","pacificus","10.9061606268773","46.577187652047","630086270.792612"
"96","Myripristis jacobus","Blackbar soldierfish","Bowen et al. 2006 Marine Biology 149:899-913","USA","Florida","25.086","-81.841437",NA,"1990-1997","cytb","10","744","0.978","NA","0.004","NA","mtdna101","25",NA,"NaN","external","dioecism","Actinopteri","Holocentriformes","Holocentridae","Myripristis","jacobus","2.77251510476066","7.47524887072822","59.8486884352232"
"97","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Bodega Bay, California","38.334","-123.096967","LINGCODSPCOAST","2000","cytochrome c oxidase subunit I","47","548","NA","NA","0.003","NA","mtdna101","152","60000","60000","external","dioecism","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","elongatus","3.92194549507647","12.5546405959193","1679.65236368993"
"98","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Eureka, California","40.820319","-124.225185","LINGCODSPCOAST","2000","cytochrome c oxidase subunit I","40","548","NA","NA","0.003","NA","mtdna101","152","60000","60000","external","dioecism","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","elongatus","3.92194549507647","12.5546405959193","1679.65236368993"
"99","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Monterey Bay, California","36.614","-122.153004","LINGCODSPCOAST","2000","cytochrome c oxidase subunit I","12","548","NA","NA","0.004","NA","mtdna101","152","60000","60000","external","dioecism","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","elongatus","3.92194549507647","12.5546405959193","1679.65236368993"
"100","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Point Defiance, Washington","47.413","-122.377085","LINGCODNPCOAST","1999","cytochrome c oxidase subunit I","15","548","NA","NA","0.004","NA","mtdna101","152","60000","60000","external","dioecism","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","elongatus","3.92194549507647","12.5546405959193","1679.65236368993"
"101","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","San Francisco, California","37.818","-122.544719","LINGCODSPCOAST","2000","cytochrome c oxidase subunit I","30","548","NA","NA","0.003","NA","mtdna101","152","60000","60000","external","dioecism","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","elongatus","3.92194549507647","12.5546405959193","1679.65236368993"
"102","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","San Juan Islands, Washington","48.517","-122.953711","LINGCODNPCOAST","1999","cytochrome c oxidase subunit I","20","548","NA","NA","0.002","NA","mtdna101","152","60000","60000","external","dioecism","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","elongatus","3.92194549507647","12.5546405959193","1679.65236368993"
"103","Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Straits of Juan de Fuca, Washington","48.316","-123.28435","LINGCODNPCOAST","1999","cytochrome c oxidase subunit I","16","548","NA","NA","0.001","NA","mtdna101","152","60000","60000","external","dioecism","Actinopteri","Perciformes","Hexagrammidae","Ophiodon","elongatus","3.92194549507647","12.5546405959193","1679.65236368993"
"104","Opistognathus aurifrons","Yellowhead jawfish","Ho et al. 2012 Marine Ecology Progress Series 444:275-287","United States","South Florida ","25.349","-80.259",NA,"2009","control region, cytochrome c oxidase subunit I","15","1029","1","NA","0.01007","NA","mtdna101","10",NA,"NaN","external","dioecism","Actinopteri",NA,"Opistognathidae","Opistognathus","aurifrons","2.19724315645384","9.38762416066849","653.824567865486"
"105","Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA","Gulf of Mexico/Louisiana","29.9","-88.535012",NA,"1999","control region","46","526","0.987","0.01","0.01","0.006","mtdna101","91","48660","48660","external","protogyny","Actinopteri","Spariformes","Sparidae","Pagrus","pagrus","3.97792661310985","15.8213332104052","10223.8082294472"
"106","Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA","Gulf of Mexico/Panama City, FL","30.155","-85.857669",NA,"2003","control region","20","526","0.984","0.024","0.008","0.005","mtdna101","91","48660","48660","external","protogyny","Actinopteri","Spariformes","Sparidae","Pagrus","pagrus","3.97792661310985","15.8213332104052","10223.8082294472"
"107","Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA, Western North Atlantic","Georgia","31.5","-80.844436","RPORGYSATLC","2000-2002","control region","20","526","1","0.016","0.008","0.005","mtdna101","91","48660","48660","external","protogyny","Actinopteri","Spariformes","Sparidae","Pagrus","pagrus","3.97792661310985","15.8213332104052","10223.8082294472"
"108","Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA, Western North Atlantic","North Carolina","34.5","-76.254793","RPORGYSATLC","1999-2002","control region","49","526","0.991","0.007","0.011","0.006","mtdna101","91","48660","48660","external","protogyny","Actinopteri","Spariformes","Sparidae","Pagrus","pagrus","3.97792661310985","15.8213332104052","10223.8082294472"
"109","Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA, Western North Atlantic","South Carolina","33","-78.7278","RPORGYSATLC","1996-2002","control region","60","526","0.996","0.004","0.01","0.005","mtdna101","91","48660","48660","external","protogyny","Actinopteri","Spariformes","Sparidae","Pagrus","pagrus","3.97792661310985","15.8213332104052","10223.8082294472"
"110","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Agua Hedionda","33.141301","-117.343668",NA,"","cytb","14","700","0.9231","NA","0.003566","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"111","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Half Moon Bay","37","-123",NA,"","cytb","17","700","0.8824","NA","0.002894","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"112","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Los Angeles","33.854146","-118.604253",NA,"","cytb","26","700","0.7785","NA","0.002548","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"113","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Mission Bay","32.780676","-117.246316",NA,"","cytb","38","700","0.8192","NA","0.003116","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"114","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Oceanside Harbor","33.208387","-117.397507",NA,"","cytb","31","700","0.7269","NA","0.002078","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"115","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","San Diego","32.74804","-117.305393",NA,"","cytb","30","700","0.6805","NA","0.002093","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"116","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","San Diego Bay","32.668495","-117.142071",NA,"","cytb","35","700","0.8185","NA","0.002833","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"117","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","San Dieguito","33.007198","-117.287726",NA,"","cytb","27","700","0.735","NA","0.001991","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"118","Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Santa Barbara","34.1333333333333","-120",NA,"","cytb","11","700","0.8182","NA","0.002563","NA","mtdna101","152","c(5e+05, 589000, 8.1e+07)","27363000","external","dioecism","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","californicus","3.69254137342399","16.4457990391949","175908.589140658"
"119","Sardinops sagax","South American pilchard","Bowen & Grant 1997","USA","San Diego, Southern California","32.762","-117.018333333333","SARDPCOAST","1983","control region","15","500","1","NA","0.03","NA","mtdna101","39.5","c(""10000"", ""30000"")","20000","external","dioecism","Actinopteri","Clupeiformes","Clupeidae","Sardinops","sagax","3.9135695359174","11.9375651838347","752.5186083592"
"120","Scomber japonicus","Chub mackerel","Scoles Collette Graves 1998","USA","Panama City, Florida","30.092861","-85.776139",NA,"","cytb","20","418","0.93","NA","0.004","NA","mtdna101","64","c(""101859"", ""195400"", ""441795"", ""86616"")","206417.5","external","dioecism","Actinopteri","Scombriformes","Scombridae","Scomber","japonicus","2.33379025841774","8.60887604759017","258.391252053977"
"121","Scomber japonicus","Chub mackerel","Scoles Collette Graves 1998","USA","San Diego","32.741236","-117.496875","CMACKPCOAST","","cytb","20","418","0.64","NA","0.0014","NA","mtdna101","64","c(""101859"", ""195400"", ""441795"", ""86616"")","206417.5","external","dioecism","Actinopteri","Scombriformes","Scombridae","Scomber","japonicus","2.33379025841774","8.60887604759017","258.391252053977"
"122","Scomber scombrus","Atlantic mackerel","de Souza et al. 2006","USA","Gulf of Maine","44.2886111111111","-68.4180555555556","MACKGOMCHATT","1998","control region","19","316","0.982","NA","0.028","NA","mtdna101","60","c(NA, 104, 144500, 235673, 360000, 397000, 450000, 450000, 541000, 1025000, 1100000, 1158500, 1548400, 1643000, 1980000)","788084.071428571","external","dioecism","Actinopteri","Scombriformes","Scombridae","Scomber","scombrus","3.02859684578935","12.8677498698525","2200.66559511648"
"123","Scomber scombrus","Atlantic mackerel","de Souza et al. 2006","USA","North Carolina","36.835","-75.3716666666667","MACKGOMCHATT","2001","control region","20","316","0.989","NA","0.029","NA","mtdna101","60","c(NA, 104, 144500, 235673, 360000, 397000, 450000, 450000, 541000, 1025000, 1100000, 1158500, 1548400, 1643000, 1980000)","788084.071428571","external","dioecism","Actinopteri","Scombriformes","Scombridae","Scomber","scombrus","3.02859684578935","12.8677498698525","2200.66559511648"
"124","Scomber scombrus","Atlantic mackerel","Scoles Collette Graves 1998","USA","Boston, Massachusetts","42.383603","-70.771923","MACKGOMCHATT","","cytb","20","418","0.85","NA","0.0029","NA","mtdna101","60","c(NA, 104, 144500, 235673, 360000, 397000, 450000, 450000, 541000, 1025000, 1100000, 1158500, 1548400, 1643000, 1980000)","788084.071428571","external","dioecism","Actinopteri","Scombriformes","Scombridae","Scomber","scombrus","3.02859684578935","12.8677498698525","2200.66559511648"
"125","Scomberomorus concolor","Monterey Spanish mackerel","Magallón-Gayón, Diaz-Jaimes & Uribe-Alcocer 2016 PeerJ 4:e2583","USA","Santa Clara","31.6866666666667","-114.499722222222",NA,"2006","cytb","28","873","0.952","0.0049","0.005","5e-04","mtdna102","77",NA,"NaN","external","dioecism","Actinopteri","Scombriformes","Scombridae","Scomberomorus","concolor","2.4439691015178","9.0658618375534","521.917486321036"
"126","Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","East side of San Juan Island, near Friday Harbor Laboratories","48.534","-123.001653",NA,"","control region","28","NA","NA","NA","0.012","0.000378","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"127","Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","North of Shaw Island, Broken Point","48.596","-122.956162",NA,"","control region","25","NA","NA","NA","0.01","4e-04","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"128","Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","Off Boeing Creek, Seattle","47.753","-122.396214",NA,"","control region","23","NA","NA","NA","0.012","0.000626","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"129","Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","Point George, South of Shaw Island","48.55","-122.971097",NA,"","control region","32","NA","NA","NA","0.008","0.00053","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"130","Sebastes emphaeus","Puget Sound rockfish","Hempelmann et al. 2004","USA","West side of San Juan Island, off Eagle Cove","48.459","-123.062936",NA,"","control region","19","NA","NA","NA","0.012","0.000459","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"131","Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Friday Harbor","48.553","-123.000833333333",NA,"2003","tRNAPro, D-loop","28","395","NA","NA","0.012","0.000378","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"132","Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Pt. George","48.559","-122.085833333333",NA,"2003","tRNAPro, D-loop","32","395","NA","NA","0.008","0.00053","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"133","Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Seattle","47.699","-122.386667",NA,"2003","tRNAPro, D-loop","23","395","NA","NA","0.012","0.000417","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"134","Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Shaw Island","48.591","-122.151388888889",NA,"2003","tRNAPro, D-loop","25","395","NA","NA","0.01","4e-04","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"135","Sebastes emphaeus","Puget Sound rockfish","Sotka et al. 2005 Marine Biotechnology 7:223-230","USA","Westside","48.485","-123.001388888889",NA,"2003","tRNAPro, D-loop","19","395","NA","NA","0.012","0.000459","mtdna101","18","c(57000, 57787)","57393.5","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","emphaeus","1.97001929195261","8.12252494536597","117.836058928776"
"136","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Astoria, OR","46.075","-124.51761",NA,"1999","cytb","108","812","0.533","0.004811252","9e-04","7.7e-05","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"137","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Cannon Beach, OR 1","45.90849","-124.46891",NA,"1999","cytb","32","812","0.669","0.012727922","0.0012","0.000159099","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"138","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Cannon Beach, OR 2","45.69968","-124.50905",NA,"1999","cytb","42","812","0.664","0.006943651","0.0011","0.000123443","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"139","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Eureka, CA","40.40833","-124.555",NA,"1999","cytb","5","812","0.7","0.097492564","0.001","0.000447214","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"140","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Florence, OR","43.9759","-124.65957",NA,"1999","cytb","74","812","0.628","0.004882401","0.0011","0.000104623","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
"141","Sebastes flavidus","Yellowtail rockfish","Hess et al. 2011 Canadian Journal of Fisheries and Aquatic Sciences 68:89-104","United States","Fort Bragg, CA","39.48122","-123.85387",NA,"1999","cytb","65","812","0.525","0.008682431","8e-04","8.68e-05","mtdna101","66","c(1146000, 1993000)","1569500","internal (oviduct)","dioecism","Actinopteri","Perciformes","Sebastidae","Sebastes","flavidus","11.0799646877584","53.2667254968619","307624105391.385"
