,spp,CommonName,Source,PrimerNote,Country,Site,lat,lon,stockid,CollectionYear,NumMarkers,MarkerName,CrossSpp,n,Repeat,He,Hese,file,X.y,fbsci,maxlength,mortalitywild,fecundity,maturitylength,maturitylength_mean,maturityage,maturityage_mean,numberofspawningcycles,reproductiveseasonlength,fertilization,reproductionmode,spawningground,batchspawner,parentalcare,larvaesize,fecundity_mean,larvae_mean
715,Ginglymostoma cirratum,Nurse shark,"Karl, Castro & Garla (2012) Mar. Biol. 159:489-498",0,USA,Florida,29.373901,-83.214979,NA,,1,Gc-18,0,37,2,0.41,NA,msats302,135,Ginglymostoma cirratum,430,25,21,"c(230, 225)",227.5,"c(NA, NA)",NA,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,21,NA
716,Ginglymostoma cirratum,Nurse shark,"Karl, Castro & Garla (2012) Mar. Biol. 159:489-498",0,USA,Florida,29.373901,-83.214979,NA,,1,Gc-25,0,36,2,0.78,NA,msats302,135,Ginglymostoma cirratum,430,25,21,"c(230, 225)",227.5,"c(NA, NA)",NA,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,21,NA
717,Ginglymostoma cirratum,Nurse shark,Heist et al. 2003. Mol Ecol Notes 3:59-61,1,United States,Big Pine Key and Dry Tortugas National Park,24.65,-82.850763,NA,,1,Gc-004,0,27,2,0.23,NA,msats101,135,Ginglymostoma cirratum,430,25,21,"c(230, 225)",227.5,"c(NA, NA)",NA,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,21,NA
726,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAC10,0,154,2,0.87,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
727,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAC43,0,176,2,0.9,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
728,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAC37,0,186,2,0.81,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
729,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAC3,0,180,3,0.38,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
730,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAC41,0,186,2,0.78,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
731,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAC43,0,132,2,0.9,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
732,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAC46,0,137,2,0.93,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
733,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAC54,0,142,2,0.9,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
734,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAT3,0,143,3,0.6,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
735,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAC10,0,88,2,0.89,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
736,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAC37,0,116,2,0.79,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
737,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAC46,0,181,2,0.93,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
738,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAC54,0,185,2,0.91,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
739,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lee Stocking Island, FL",24.5,-76.100065,NA,,1,AAT3,0,185,3,0.6,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
740,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAC10,0,117,2,0.89,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
741,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAC37,0,140,2,0.81,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
742,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAC3,0,143,3,0.39,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
743,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Lower Keys, FL",24.25,-81.719725,NA,,1,AAC41,0,142,2,0.76,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
744,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAC41,0,118,2,0.77,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
745,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAC43,0,114,2,0.9,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
746,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAC46,0,112,2,0.93,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
747,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAC3,0,137,3,0.31,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
748,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAT3,0,118,3,0.62,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
749,Haemulon flavolineatum,French grunt,Purcell et al. 2006 Proc R Soc B 273:1483-90,0,USA,"Upper Keys, FL",24.95,-80.493588,NA,,1,AAC54,0,117,2,0.9,NA,msats000,144,Haemulon flavolineatum,30,NA,NA,NA,NA,NA,NA,NA,NA,external,dioecism,NA,0,1,NA,NA,NA
750,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,Hpl044,0,181,2,0.95,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
751,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,HfAAC31,1,181,2,0.891,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
752,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,Hpl034,0,181,2,0.925,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
753,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,HfAAC41,1,177,2,0.852,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
754,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,HfAAC3,1,179,2,0.824,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
755,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,HfAAC51,1,180,2,0.918,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
756,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,HfAAC37,1,178,2,0.823,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
757,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,HfAAC51,1,97,2,0.937,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
758,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,HfAAC37,1,98,2,0.877,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
759,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,HfAAC41,1,72,2,0.806,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
760,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,HfAAC3,1,98,2,0.824,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
761,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,HfAAC10,1,97,2,0.893,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
762,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,HfAAC43,1,97,2,0.933,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
763,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,Hpl006,0,93,2,0.922,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
764,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,HfAAC10,1,173,2,0.768,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
765,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,HfAAC43,1,180,2,0.945,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
766,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,Hpl006,0,97,2,0.934,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
767,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,Hpl034,0,98,2,0.94,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
768,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,Hpl044,0,97,2,0.957,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
769,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Florida Keys,24.771951,-80.917574,NA,2016,1,HfAAC31,1,98,2,0.864,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
770,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,HfAAC3,1,93,2,0.836,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
771,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,HfAAC10,1,93,2,0.898,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
772,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,HfAAC43,1,92,2,0.932,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
773,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,Hpl034,0,93,2,0.925,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
774,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,Hpl044,0,93,2,0.957,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
775,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,HfAAC31,1,93,2,0.872,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
776,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,HfAAC51,1,93,2,0.945,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
777,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,HfAAC37,1,93,2,0.879,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
778,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Southeast Florida,26.7382,-80.1238,NA,2016-2017,1,HfAAC41,1,88,2,0.831,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
779,Haemulon plumierii,White grunt,"O'Donnell, Reichert & Darden (2019) North American Journal of Fisheries Management 39:725-737",0,USA,Eastern Gulf of Mexico,27.57118,-82.6248,NA,2016,1,Hpl006,0,179,2,0.917,NA,msats303,145,Haemulon plumierii,53,NA,64000,"c(NA, 11, 12, NA, NA)",11.5,"c(NA, NA, NA, NA, NA)",NA,NA,5.3 months,external,dioecism,"c(NA, NA, ""coastal"")",0,1,NA,64000,NA
782,Hexanchus griseus,Bluntnose sixgill shark,Larson et al. 2011 Cons Gen 12:679-690,0,USA,"Puget Sound, WA",47.58333333,-122.36667,NA,2003-2007,1,sg25,0,324,2,0.52,NA,msats001,148,Hexanchus griseus,482,NA,22,"c(400, 315, NA, 325, 420, 315)",355,"c(NA, NA, NA, NA, NA, NA)",NA,NA,NA,internal (oviduct),dioecism,shelf,0,1,NA,22,NA
783,Hexanchus griseus,Bluntnose sixgill shark,Larson et al. 2011 Cons Gen 12:679-690,0,USA,"Puget Sound, WA",47.58333333,-122.36667,NA,2003-2007,1,sg05,0,324,3,0.08,NA,msats001,148,Hexanchus griseus,482,NA,22,"c(400, 315, NA, 325, 420, 315)",355,"c(NA, NA, NA, NA, NA, NA)",NA,NA,NA,internal (oviduct),dioecism,shelf,0,1,NA,22,NA
784,Hexanchus griseus,Bluntnose sixgill shark,Larson et al. 2011 Cons Gen 12:679-690,0,USA,"Puget Sound, WA",47.58333333,-122.36667,NA,2003-2007,1,sg10,0,324,2,0.84,NA,msats001,148,Hexanchus griseus,482,NA,22,"c(400, 315, NA, 325, 420, 315)",355,"c(NA, NA, NA, NA, NA, NA)",NA,NA,NA,internal (oviduct),dioecism,shelf,0,1,NA,22,NA
785,Hexanchus griseus,Bluntnose sixgill shark,Larson et al. 2011 Cons Gen 12:679-690,0,USA,"Puget Sound, WA",47.58333333,-122.36667,NA,2003-2007,1,sg24,0,324,3,0.52,NA,msats001,148,Hexanchus griseus,482,NA,22,"c(400, 315, NA, 325, 420, 315)",355,"c(NA, NA, NA, NA, NA, NA)",NA,NA,NA,internal (oviduct),dioecism,shelf,0,1,NA,22,NA
786,Hexanchus griseus,Bluntnose sixgill shark,Larson et al. 2011 Cons Gen 12:679-690,0,USA,"Puget Sound, WA",47.58333333,-122.36667,NA,2003-2007,1,sg27,0,324,2,0.66,NA,msats001,148,Hexanchus griseus,482,NA,22,"c(400, 315, NA, 325, 420, 315)",355,"c(NA, NA, NA, NA, NA, NA)",NA,NA,NA,internal (oviduct),dioecism,shelf,0,1,NA,22,NA
791,Hippoglossus stenolepis,Pacific halibut,Hauser et al. 2006 Intl Pacific Halibut Commission Sci Report 81:1-28,0,USA,"Newport, Oregon",44.618822,-124.087515,PHALNPAC,2002,1,Hhi3,1,43,2,0.9511,NA,msats000,153,Hippoglossus stenolepis,258,55,2250000,"c(NA, NA, 134, 125, NA)",129.5,"c(7, 5, 12.1, 10.9, NA)",8.75,NA,3 months,external,dioecism,NA,0,1,NA,2250000,NA
792,Hippoglossus stenolepis,Pacific halibut,Hauser et al. 2006 Intl Pacific Halibut Commission Sci Report 81:1-28,0,USA,"Newport, Oregon",44.618822,-124.087515,PHALNPAC,2002,1,HhiA44,1,44,2,0.9403,NA,msats000,153,Hippoglossus stenolepis,258,55,2250000,"c(NA, NA, 134, 125, NA)",129.5,"c(7, 5, 12.1, 10.9, NA)",8.75,NA,3 months,external,dioecism,NA,0,1,NA,2250000,NA
793,Hippoglossus stenolepis,Pacific halibut,Hauser et al. 2006 Intl Pacific Halibut Commission Sci Report 81:1-28,0,USA,"Newport, Oregon",44.618822,-124.087515,PHALNPAC,2002,1,HhiC17,1,43,2,0.9608,NA,msats000,153,Hippoglossus stenolepis,258,55,2250000,"c(NA, NA, 134, 125, NA)",129.5,"c(7, 5, 12.1, 10.9, NA)",8.75,NA,3 months,external,dioecism,NA,0,1,NA,2250000,NA
794,Hippoglossus stenolepis,Pacific halibut,Hauser et al. 2006 Intl Pacific Halibut Commission Sci Report 81:1-28,0,USA,"Newport, Oregon",44.618822,-124.087515,PHALNPAC,2002,1,Hhi53,1,44,2,0.9628,NA,msats000,153,Hippoglossus stenolepis,258,55,2250000,"c(NA, NA, 134, 125, NA)",129.5,"c(7, 5, 12.1, 10.9, NA)",8.75,NA,3 months,external,dioecism,NA,0,1,NA,2250000,NA
795,Hippoglossus stenolepis,Pacific halibut,Hauser et al. 2006 Intl Pacific Halibut Commission Sci Report 81:1-28,0,USA,"Newport, Oregon",44.618822,-124.087515,PHALNPAC,2002,1,Hhi63,1,44,2,0.9535,NA,msats000,153,Hippoglossus stenolepis,258,55,2250000,"c(NA, NA, 134, 125, NA)",129.5,"c(7, 5, 12.1, 10.9, NA)",8.75,NA,3 months,external,dioecism,NA,0,1,NA,2250000,NA
796,Hippoglossus stenolepis,Pacific halibut,Hauser et al. 2006 Intl Pacific Halibut Commission Sci Report 81:1-28,0,USA,"Newport, Oregon",44.618822,-124.087515,PHALNPAC,2002,1,HhiD34,1,43,2,0.8899,NA,msats000,153,Hippoglossus stenolepis,258,55,2250000,"c(NA, NA, 134, 125, NA)",129.5,"c(7, 5, 12.1, 10.9, NA)",8.75,NA,3 months,external,dioecism,NA,0,1,NA,2250000,NA
