"","spp","CommonName","Source","PrimerNote","Country","Site","lat","lon","stockid","CollectionYear","NumMarkers","MarkerName","CrossSpp","n","Repeat","He","Hese","file","maxlength","fecundity","fecundity_mean","reproductiveseasonlength","fertilization","reproductionmode"
"11","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","2al2","1","12","2","0.866","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"12","Abudefduf saxatilis","Sergeant-major","Piñeros & Gutiérrez-Rodríguez (2017) Coral Reefs 36:877-890","0","USA","Fort Pierce","27.05819444","-80.10330556",NA,"","1","2al24","1","11","3","0.43","NA","msats303","22.9","NA","NaN","NA","external","dioecism"
"13","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER27","0","30","4","0.927","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"14","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER44","0","30","2","0.569","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"15","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER61","0","30","2","0.939","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"16","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER92","0","30","2","0.883","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"17","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER159","0","30","4","0.837","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"18","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER243","0","30","4","0.46","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"19","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER263","0","30","2","0.511","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"20","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER358","0","30","4","0.334","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"21","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER453","0","30","4","0.948","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"22","Aetobatus narinari","Whitespotted eagle ray","Sellas et al. 2011 Cons Gen Res 3:609-611","1","USA","Sarasota, FL","27.340665","-82.576786",NA,"","1","SER476","0","30","4","0.91","NA","msats001","330","1","1","NA","internal (oviduct)","dioecism"
"23","Anoplopoma fimbria","Sablefish","M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523","0","USA","Oregon","45.83555556","-124.8016667",NA,"2006","1","Afi32A","0","24","2","0.88","NA","msats305","120","c(NA, 1e+05, 241200)","170600","NA","external","dioecism"
"24","Anoplopoma fimbria","Sablefish","M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523","0","USA","Oregon","45.83555556","-124.8016667",NA,"2006","1","AfiP3A","0","31","2","0.89","NA","msats305","120","c(NA, 1e+05, 241200)","170600","NA","external","dioecism"
"25","Anoplopoma fimbria","Sablefish","M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523","0","USA","Oregon","45.83555556","-124.8016667",NA,"2006","1","Afi03","0","29","3","0.72","NA","msats305","120","c(NA, 1e+05, 241200)","170600","NA","external","dioecism"
"26","Anoplopoma fimbria","Sablefish","M. A. Tripp-Valdez et al. (2012) J. Appl. Ichthyol. 28: 516â€“523","0","USA","Oregon","45.83555556","-124.8016667",NA,"2006","1","Afi701","0","23","4","0.9","NA","msats305","120","c(NA, 1e+05, 241200)","170600","NA","external","dioecism"
"27","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp003","1","22","4","0.13","NA","msats301","30","NA","NaN","NA","external","dioecism"
"28","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp017","1","22","4","0.426","NA","msats301","30","NA","NaN","NA","external","dioecism"
"29","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp039","1","22","4","0.133","NA","msats301","30","NA","NaN","NA","external","dioecism"
"30","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp121","1","22","4","0.719","NA","msats301","30","NA","NaN","NA","external","dioecism"
"31","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp221","1","22","3","0.575","NA","msats301","30","NA","NaN","NA","external","dioecism"
"32","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp230","1","22","3","0.769","NA","msats301","30","NA","NaN","NA","external","dioecism"
"33","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp239","1","22","3","0.862","NA","msats301","30","NA","NaN","NA","external","dioecism"
"34","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp275","1","22","6","0.662","NA","msats301","30","NA","NaN","NA","external","dioecism"
"35","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp301","1","22","4","0.779","NA","msats301","30","NA","NaN","NA","external","dioecism"
"36","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp473","1","22","4","0.13","NA","msats301","30","NA","NaN","NA","external","dioecism"
"37","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp489","1","22","3","0.045","NA","msats301","30","NA","NaN","NA","external","dioecism"
"38","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp500","1","22","3","0.355","NA","msats301","30","NA","NaN","NA","external","dioecism"
"39","Brevoortia gunteri","Finescale menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Sabine Lake","30.042056","-93.820792",NA,"2002-2004","1","Bp531","1","22","3","0.593","NA","msats301","30","NA","NaN","NA","external","dioecism"
"40","Brevoortia gunteri","Finescale menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334",NA,"2004, 2005","1","AF039657","1","60","3","0.066","NA","ppdat","30","NA","NaN","NA","external","dioecism"
"41","Brevoortia gunteri","Finescale menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334",NA,"2004, 2005","1","AF039658","1","60","3","0.823","NA","ppdat","30","NA","NaN","NA","external","dioecism"
"42","Brevoortia gunteri","Finescale menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334",NA,"2004, 2005","1","AF039661","1","60","4","0.184","NA","ppdat","30","NA","NaN","NA","external","dioecism"
"43","Brevoortia gunteri","Finescale menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334",NA,"2004, 2005","1","AF049462","1","60","3","0.783","NA","ppdat","30","NA","NaN","NA","external","dioecism"
"44","Brevoortia gunteri","Finescale menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Louisiana","29.506549","-92.550659",NA,"2006-2007","1","AsaB020","1","24","3","0.473","NA","msats304","30","NA","NaN","NA","external","dioecism"
"45","Brevoortia gunteri","Finescale menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Louisiana","29.506549","-92.550659",NA,"2006-2007","1","AsaC334","1","11","4","0.814","NA","msats304","30","NA","NaN","NA","external","dioecism"
"46","Brevoortia gunteri","Finescale menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Louisiana","29.506549","-92.550659",NA,"2006-2007","1","AsaD055","1","25","4","0.912","NA","msats304","30","NA","NaN","NA","external","dioecism"
"47","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Louisiana","29.123373","-90.990601","MENATGM","","5","","1","20","3.4","0.672798886","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"48","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Louisiana","29.123373","-90.990601","MENATGM","","5","","1","20","3.4","0.496880299","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"49","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Louisiana","29.123373","-90.990601","MENATGM","","5","","1","20","3.4","0.480951677","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"50","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Louisiana","29.123373","-90.990601","MENATGM","","5","","1","20","3.4","0.610102798","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"51","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Louisiana","29.123373","-90.990601","MENATGM","","5","","1","20","3.4","0.354836227","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"52","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Matagorda, TX","28.595374","-95.960884","MENATGM","","5","","1","20","3.4","0.043577225","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"53","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Matagorda, TX","28.595374","-95.960884","MENATGM","","5","","1","20","3.4","0.790450637","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"54","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Matagorda, TX","28.595374","-95.960884","MENATGM","","5","","1","20","3.4","0.706723341","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"55","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Matagorda, TX","28.595374","-95.960884","MENATGM","","5","","1","20","3.4","0.737304518","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"56","Brevoortia patronus","Gulf menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Matagorda, TX","28.595374","-95.960884","MENATGM","","5","","1","20","3.4","0.704016519","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"57","Brevoortia patronus","Gulf menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334","MENATGM","2004, 2005","1","AF039658","1","60","3","0.883","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"58","Brevoortia patronus","Gulf menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334","MENATGM","2004, 2005","1","AF049462","1","60","3","0.923","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"59","Brevoortia patronus","Gulf menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334","MENATGM","2004, 2005","1","AF039657","1","60","3","0.736","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"60","Brevoortia patronus","Gulf menhaden","Anderson & McDonald 2007 J Fish Bio","1","USA","Lower Laguna Madre, Corpus Christi Bay, East Matagorda Bay, and Galveston Bay (Texas)","28.516969","-95.892334","MENATGM","2004, 2005","1","AF039661","1","60","4","0.126","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"61","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","Asa16","1","45","3","0.812","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"62","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","AsaC334","1","49","4","0.855","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"63","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","AsaB020","1","49","3","0.939","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"64","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","Asa2","1","49","3","0.641","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"65","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","Asa4","1","44","3","0.79","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"66","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","AsaD055","1","45","4","0.912","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"67","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","SarBH04","1","44","2","0.442","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"68","Brevoortia patronus","Gulf menhaden","Lynch et al. 2010 Fish Bull","0","USA","Gulf of Mexico (Galveston, TX and Cameron, LA)","29.64032","-93.906555","MENATGM","2006-2007","1","Aa16","1","49","2","0.448","NA","ppdat","35","c(5000, NA, NA)","5000","NA","external","dioecism"
"69","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp017","1","19","4","0.193","NA","msats301","33","NA","NaN","NA","external","dioecism"
"70","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp121","1","19","4","0.7","NA","msats301","33","NA","NaN","NA","external","dioecism"
"71","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp221","1","19","3","0.323","NA","msats301","33","NA","NaN","NA","external","dioecism"
"72","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp230","1","19","3","0.693","NA","msats301","33","NA","NaN","NA","external","dioecism"
"73","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp239","1","19","3","0.66","NA","msats301","33","NA","NaN","NA","external","dioecism"
"74","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp275","1","19","6","0.398","NA","msats301","33","NA","NaN","NA","external","dioecism"
"75","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp473","1","19","4","0.479","NA","msats301","33","NA","NaN","NA","external","dioecism"
"76","Brevoortia smithi","Yellowfin menhaden","Anderson & Karel (2013) Fish. Bull. 112:71-81","0","USA","Charlotte Harbor","26.955647","-82.055861",NA,"2002-2004","1","Bp531","1","19","3","0.599","NA","msats301","33","NA","NaN","NA","external","dioecism"
"77","Brevoortia smithi","Yellowfin menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Florida","30.221102","-86.334229",NA,"2006-2007","1","Aa16","1","24","2","0.325","NA","msats304","33","NA","NaN","NA","external","dioecism"
"78","Brevoortia smithi","Yellowfin menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Florida","30.221102","-86.334229",NA,"2006-2007","1","Asa16","1","24","3","0.582","NA","msats304","33","NA","NaN","NA","external","dioecism"
"79","Brevoortia smithi","Yellowfin menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Florida","30.221102","-86.334229",NA,"2006-2007","1","Asa2","1","24","3","0.117","NA","msats304","33","NA","NaN","NA","external","dioecism"
"80","Brevoortia smithi","Yellowfin menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Florida","30.221102","-86.334229",NA,"2006-2007","1","AsaC334","1","17","4","0.595","NA","msats304","33","NA","NaN","NA","external","dioecism"
"81","Brevoortia smithi","Yellowfin menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Florida","30.221102","-86.334229",NA,"2006-2007","1","AsaD055","1","24","4","0.883","NA","msats304","33","NA","NaN","NA","external","dioecism"
"82","Brevoortia smithi","Yellowfin menhaden","Lynch 2008 Thesis (W&M)","0","USA","West Florida","30.221102","-86.334229",NA,"2006-2007","1","SarBH04","1","24","2","0.307","NA","msats304","33","NA","NaN","NA","external","dioecism"
"83","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Maine","43.992815","-68.995972","MENATLAN","","5","","1","10","3.4","0.632842083","NA","ppdat","50","38000","38000","NA","external","dioecism"
"84","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Maine","43.992815","-68.995972","MENATLAN","","5","","1","10","3.4","0.596135426","NA","ppdat","50","38000","38000","NA","external","dioecism"
"85","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Maine","43.992815","-68.995972","MENATLAN","","5","","1","10","3.4","0.575583213","NA","ppdat","50","38000","38000","NA","external","dioecism"
"86","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Maine","43.992815","-68.995972","MENATLAN","","5","","1","10","3.4","0.674631947","NA","ppdat","50","38000","38000","NA","external","dioecism"
"87","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Maine","43.992815","-68.995972","MENATLAN","","5","","1","10","3.4","0.411399107","NA","ppdat","50","38000","38000","NA","external","dioecism"
"88","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","North Carolina","34.669359","-76.807022","MENATLAN","","5","","1","20","3.4","0.545552394","NA","ppdat","50","38000","38000","NA","external","dioecism"
"89","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","North Carolina","34.669359","-76.807022","MENATLAN","","5","","1","20","3.4","0.748107676","NA","ppdat","50","38000","38000","NA","external","dioecism"
"90","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","North Carolina","34.669359","-76.807022","MENATLAN","","5","","1","20","3.4","0.354971198","NA","ppdat","50","38000","38000","NA","external","dioecism"
"91","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","North Carolina","34.669359","-76.807022","MENATLAN","","5","","1","20","3.4","0.081174754","NA","ppdat","50","38000","38000","NA","external","dioecism"
"92","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","North Carolina","34.669359","-76.807022","MENATLAN","","5","","1","20","3.4","0.463908424","NA","ppdat","50","38000","38000","NA","external","dioecism"
"93","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Virginia","36.79279","-75.926743","MENATLAN","","5","","1","10","3.4","0.452493832","NA","ppdat","50","38000","38000","NA","external","dioecism"
"94","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Virginia","36.79279","-75.926743","MENATLAN","","5","","1","10","3.4","0.430186056","NA","ppdat","50","38000","38000","NA","external","dioecism"
"95","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Virginia","36.79279","-75.926743","MENATLAN","","5","","1","10","3.4","0.500310073","NA","ppdat","50","38000","38000","NA","external","dioecism"
"96","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Virginia","36.79279","-75.926743","MENATLAN","","5","","1","10","3.4","0.661273608","NA","ppdat","50","38000","38000","NA","external","dioecism"
"97","Brevoortia tyrannus","Atlantic menhaden","Anderson & Karel 2007 J Fish Bio","0","USA","Virginia","36.79279","-75.926743","MENATLAN","","5","","1","10","3.4","1","NA","ppdat","50","38000","38000","NA","external","dioecism"
"98","Brevoortia tyrannus","Atlantic menhaden","Lynch et al. 2010 Fish Bull","0","USA","Chesapeake Bay (Gloucester Point, VA)","37.776421","-76.093675","MENATLAN","2006-2007","1","AsaB020","1","115","3","0.888","NA","ppdat","50","38000","38000","NA","external","dioecism"
"99","Brevoortia tyrannus","Atlantic menhaden","Lynch et al. 2010 Fish Bull","0","USA","Chesapeake Bay (Gloucester Point, VA)","37.776421","-76.093675","MENATLAN","2006-2007","1","SarBH04","1","110","2","0.738","NA","ppdat","50","38000","38000","NA","external","dioecism"
"100","Brevoortia tyrannus","Atlantic menhaden","Lynch et al. 2010 Fish Bull","0","USA","Chesapeake Bay (Gloucester Point, VA)","37.776421","-76.093675","MENATLAN","2006-2007","1","Asa4","1","101","3","0.825","NA","ppdat","50","38000","38000","NA","external","dioecism"
"101","Brevoortia tyrannus","Atlantic menhaden","Lynch et al. 2010 Fish Bull","0","USA","Chesapeake Bay (Gloucester Point, VA)","37.776421","-76.093675","MENATLAN","2006-2007","1","Asa2","1","113","3","0.649","NA","ppdat","50","38000","38000","NA","external","dioecism"
"102","Brevoortia tyrannus","Atlantic menhaden","Lynch et al. 2010 Fish Bull","0","USA","Chesapeake Bay (Gloucester Point, VA)","37.776421","-76.093675","MENATLAN","2006-2007","1","AsaD055","1","112","4","0.912","NA","ppdat","50","38000","38000","NA","external","dioecism"
"103","Brevoortia tyrannus","Atlantic menhaden","Lynch et al. 2010 Fish Bull","0","USA","Chesapeake Bay (Gloucester Point, VA)","37.776421","-76.093675","MENATLAN","2006-2007","1","AsaC334","1","113","4","0.638","NA","ppdat","50","38000","38000","NA","external","dioecism"
